subject_folder,parent_folder,relative_file,clip_name,label_guess,fps,num_frames,duration_s,gender,poses_shape,trans_shape,betas_shape,dmpls_shape,keys,error
01,01,01/01_01_poses.npz,01_01_poses,,120.0,2751,22.925,male,"[2751, 156]","[2751, 3]",[16],"[2751, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
01,01,01/01_02_poses.npz,01_02_poses,,120.0,4346,36.21666666666667,male,"[4346, 156]","[4346, 3]",[16],"[4346, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
01,01,01/01_03_poses.npz,01_03_poses,,120.0,4510,37.583333333333336,male,"[4510, 156]","[4510, 3]",[16],"[4510, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
01,01,01/01_05_poses.npz,01_05_poses,,120.0,4376,36.46666666666667,male,"[4376, 156]","[4376, 3]",[16],"[4376, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
01,01,01/01_06_poses.npz,01_06_poses,,120.0,5133,42.775,male,"[5133, 156]","[5133, 3]",[16],"[5133, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
01,01,01/01_07_poses.npz,01_07_poses,,120.0,4839,40.325,male,"[4839, 156]","[4839, 3]",[16],"[4839, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
01,01,01/01_08_poses.npz,01_08_poses,,120.0,2610,21.75,male,"[2610, 156]","[2610, 3]",[16],"[2610, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
01,01,01/01_09_poses.npz,01_09_poses,,120.0,4242,35.35,male,"[4242, 156]","[4242, 3]",[16],"[4242, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
01,01,01/01_10_poses.npz,01_10_poses,,120.0,3266,27.216666666666665,male,"[3266, 156]","[3266, 3]",[16],"[3266, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
01,01,01/01_11_poses.npz,01_11_poses,,120.0,4654,38.78333333333333,male,"[4654, 156]","[4654, 3]",[16],"[4654, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
02,02,02/02_01_poses.npz,02_01_poses,,120.0,343,2.8583333333333334,male,"[343, 156]","[343, 3]",[16],"[343, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
02,02,02/02_02_poses.npz,02_02_poses,,120.0,298,2.4833333333333334,male,"[298, 156]","[298, 3]",[16],"[298, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
02,02,02/02_03_poses.npz,02_03_poses,,120.0,173,1.4416666666666667,male,"[173, 156]","[173, 3]",[16],"[173, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
02,02,02/02_04_poses.npz,02_04_poses,,120.0,483,4.025,male,"[483, 156]","[483, 3]",[16],"[483, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
02,02,02/02_05_poses.npz,02_05_poses,,120.0,1854,15.45,male,"[1854, 156]","[1854, 3]",[16],"[1854, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
02,02,02/02_06_poses.npz,02_06_poses,,120.0,2235,18.625,male,"[2235, 156]","[2235, 3]",[16],"[2235, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
02,02,02/02_07_poses.npz,02_07_poses,,120.0,2251,18.758333333333333,male,"[2251, 156]","[2251, 3]",[16],"[2251, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
02,02,02/02_08_poses.npz,02_08_poses,,120.0,1500,12.5,male,"[1500, 156]","[1500, 3]",[16],"[1500, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
02,02,02/02_09_poses.npz,02_09_poses,,120.0,1033,8.608333333333333,male,"[1033, 156]","[1033, 3]",[16],"[1033, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
02,02,02/02_10_poses.npz,02_10_poses,,120.0,2645,22.041666666666668,male,"[2645, 156]","[2645, 3]",[16],"[2645, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_01_poses.npz,05_01_poses,,120.0,598,4.983333333333333,female,"[598, 156]","[598, 3]",[16],"[598, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_02_poses.npz,05_02_poses,,120.0,1123,9.358333333333333,female,"[1123, 156]","[1123, 3]",[16],"[1123, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_03_poses.npz,05_03_poses,,120.0,434,3.6166666666666667,female,"[434, 156]","[434, 3]",[16],"[434, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_04_poses.npz,05_04_poses,,120.0,1199,9.991666666666667,female,"[1199, 156]","[1199, 3]",[16],"[1199, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_05_poses.npz,05_05_poses,,120.0,915,7.625,female,"[915, 156]","[915, 3]",[16],"[915, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_06_poses.npz,05_06_poses,,120.0,885,7.375,female,"[885, 156]","[885, 3]",[16],"[885, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_07_poses.npz,05_07_poses,,120.0,1191,9.925,female,"[1191, 156]","[1191, 3]",[16],"[1191, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_08_poses.npz,05_08_poses,,120.0,721,6.008333333333334,female,"[721, 156]","[721, 3]",[16],"[721, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_09_poses.npz,05_09_poses,,120.0,1143,9.525,female,"[1143, 156]","[1143, 3]",[16],"[1143, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_10_poses.npz,05_10_poses,,120.0,817,6.808333333333334,female,"[817, 156]","[817, 3]",[16],"[817, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_11_poses.npz,05_11_poses,,120.0,591,4.925,female,"[591, 156]","[591, 3]",[16],"[591, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_12_poses.npz,05_12_poses,,120.0,1354,11.283333333333333,female,"[1354, 156]","[1354, 3]",[16],"[1354, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_13_poses.npz,05_13_poses,,120.0,1095,9.125,female,"[1095, 156]","[1095, 3]",[16],"[1095, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_14_poses.npz,05_14_poses,,120.0,642,5.35,female,"[642, 156]","[642, 3]",[16],"[642, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_15_poses.npz,05_15_poses,,120.0,540,4.5,female,"[540, 156]","[540, 3]",[16],"[540, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_16_poses.npz,05_16_poses,,120.0,525,4.375,female,"[525, 156]","[525, 3]",[16],"[525, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_17_poses.npz,05_17_poses,,120.0,1043,8.691666666666666,female,"[1043, 156]","[1043, 3]",[16],"[1043, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_18_poses.npz,05_18_poses,,120.0,1829,15.241666666666667,female,"[1829, 156]","[1829, 3]",[16],"[1829, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
05,05,05/05_19_poses.npz,05_19_poses,,120.0,860,7.166666666666667,female,"[860, 156]","[860, 3]",[16],"[860, 8]",trans;gender;mocap_framerate;betas;dmpls;poses,
